# test comment
"lm.model","lm.AIC","lm.p_value","lm.std_err","lm.t_value","lm.estimate","anova.model","anova.p_value","anova.estimate","anova.std_err","anova.AIC","anova_c_10000.model","anova_c_10000.p_value","anova_c_10000.estimate","anova_c_10000.std_err","anova_c_10000.AIC","anova_c_100.model","anova_c_100.p_value","anova_c_100.estimate","anova_c_100.std_err","anova_c_100.AIC","anova_c_10.model","anova_c_10.p_value","anova_c_10.estimate","anova_c_10.std_err","anova_c_10.AIC","anova_c_0.5.model","anova_c_0.5.p_value","anova_c_0.5.estimate","anova_c_0.5.std_err","anova_c_0.5.AIC","anova_c_100000000.model","anova_c_100000000.p_value","anova_c_100000000.estimate","anova_c_100000000.std_err","anova_c_100000000.AIC","tweedie.model","tweedie.AIC","tweedie.p_value","tweedie.std_err","tweedie.t_value","tweedie.estimate","tweedie.link.power","tweedie.var.power","quantile_regression.model","quantile_regression.AIC","quantile_regression.p_value","quantile_regression.estimate","quantile_regression.lower_bound","quantile_regression.upper_bound","quantile_regression.std_err"
"lm",1981.23959203566,0.00886576188596931,4.79787980047262,2.64337015763217,12.6825722844755,"anova",0.000136139107147876,0.781140754556387,0.200738362698503,711.668788413273,"anova",0.0085489682380708,0.00125712314994858,0.00047329494936024,-1708.34676969368,"anova",0.00162194739502586,0.081648147054239,0.0255469655555089,-112.924746537708,"anova",0.000216548506459979,0.335304101526434,0.0889729825566698,386.200938350914,"anova",0.000152886392161477,0.930120304434969,0.24090535458843,784.629490326364,"anova",0.00886572727248413,1.26825612836705e-07,4.7978731533177e-08,-5387.03325972003,"tweedie",2574.04714130558,0.00131885869117345,0.333622779993446,3.25833787972964,1.08705574159335,0,1.5,"quantile_regression",1679.64391316368,0.00247609797718962,5.74266920869852,2.83373575601053,8.7812616916427,1.87330795677808
"lm",1795.54685519043,0.00165622492506236,3.01603263280906,3.1896478857325,9.62008211053964,"anova",0.00261337824447667,0.607889833301291,0.199401274628703,708.995535535057,"anova",0.001633681462686,0.00095853679787794,0.000300123039723877,-1890.55726679379,"anova",0.000753602378625981,0.0738815325198857,0.0215864079904618,-180.306621627138,"anova",0.000513015313961761,0.307602689037656,0.0870890591718653,377.640341086048,"anova",0.0043701724988102,0.689813432726938,0.23924341893784,781.86044476509,"anova",0.00165622215590821,9.62007889305121e-08,3.01603114338799e-08,-5572.72563992438,"tweedie",2339.12647316206,0.00111123660880053,0.253852465038488,3.30927331476289,0.840067188438648,0,1.5,"quantile_regression",1652.67291068567,0.296126175798761,2.31410946514614,0.57417094290965,6.30549086420776,2.20908266559745
"lm",1824.58645645641,0.000581617199791852,3.24313765472815,3.49661402446711,11.3400006067998,"anova",1.93532327796489e-05,0.829907833141207,0.189548702483322,688.726234280478,"anova",0.00056009567944457,0.00112848385221707,0.0003217540022331,-1862.7193618482,"anova",0.000103153358481515,0.0832604562336862,0.0210077282327606,-191.17601195294,"anova",2.03126134885769e-05,0.359709374202533,0.0823745797137418,355.378591884063,"anova",2.55339873086203e-05,0.981700179061733,0.227684416418403,762.052048257584,"anova",0.000581614854122763,1.1339995156988e-07,3.24313503597496e-08,-5543.68616411474,"tweedie",2215.14483570883,4.46272727068738e-05,0.248643259089553,4.17498441370792,1.03808173127242,0,1.5,"quantile_regression",1626.33877598416,0.00545495498777671,5.29428726574629,3.796173769739,9.24284040894261,1.88423433205977
"lm",1852.27612987811,0.00160537897143563,3.47559419825653,3.19911775130537,11.1188350959764,"anova",2.49455376758084e-09,1.17363337763469,0.187837538160646,685.098807807777,"anova",0.00152470611952402,0.00110911272409023,0.000345009667025376,-1834.80530118803,"anova",6.90692183028392e-05,0.0917395598101022,0.0225643602974836,-162.583490975171,"anova",2.52636767885478e-07,0.45690239503821,0.085548857697265,370.502894720586,"anova",1.10182305447163e-09,1.42727550569404,0.22301690144478,753.766859532066,"anova",0.00160537036227696,1.11188325006191e-07,3.47559161954627e-08,-5515.99646448216,"tweedie",2349.57355294356,0.00340113337322886,0.290624470276355,2.96476876149747,0.861634350802088,0,1.5,"quantile_regression",1671.11903027684,9.95870472539906e-05,9.20085138051815,6.20979021375098,15.1957365682072,2.31620434184889
"lm",1793.40677844417,0.00211942712593499,2.99993936896365,3.1139796625583,9.3417501838608,"anova",0.000619110618457383,0.702505716041632,0.201934779847133,714.045744893106,"anova",0.0021086776657342,0.00093040981220594,0.000298633822693581,-1892.54701614894,"anova",0.0015162109170496,0.0700085836477565,0.0217660109165173,-176.992316070602,"anova",0.00080471434672478,0.301496074962833,0.088580226358037,384.431297163842,"anova",0.000641890364551254,0.836965450116038,0.241299023286338,785.282605567007,"anova",0.00211942561272455,9.34174658798619e-08,2.99993800120256e-08,-5574.86570150865,"tweedie",2339.09403462034,0.00105921017300092,0.217602731573365,3.32342440625077,0.723186228977755,0,1.5,"quantile_regression",1678.58351289707,0.0122000886517342,6.42386047497473,4.00675474603474,10.1640599829668,2.5395292860126
"lm",1810.5511174894,0.00136745002147764,3.13131462929271,3.24750111399801,10.1689477469064,"anova",3.31276549919318e-05,0.784991622928877,0.184776082979391,678.525727493845,"anova",0.00131199108841565,0.00101207166097879,0.000310461017360256,-1877.01093777385,"anova",0.000158919894427816,0.0762524059097783,0.0198019415203908,-214.820168604596,"anova",1.72409896430085e-05,0.34465971442026,0.0782266217380755,334.711844024272,"anova",5.35914055601852e-05,0.921675534627978,0.223196158872022,754.088244005676,"anova",0.00136744396129126,1.01689431034135e-07,3.1313119179049e-08,-5557.72152644945,"tweedie",2127.91203856125,0.000216990365658362,0.255767643120328,3.76806015736506,0.963747865584871,0,1.5,"quantile_regression",1598.60401635418,0.0141481913109662,4.96664377398823,3.2197610708737,7.77314712043168,2.00639390979196
"lm",1991.44925222089,0.187380865446045,4.92191785541619,1.32294083236618,6.51140610448227,"anova",6.87634932032991e-05,0.833027986036902,0.204835966363178,719.751633505622,"anova",0.184740529319753,0.000649017536774695,0.000487639814658162,-1696.40345654186,"anova",0.0601034815495165,0.0550416017314394,0.0291093118877582,-60.7089167430591,"anova",0.00175795221818932,0.310250125625946,0.09782489985443,424.139493353666,"anova",4.47981516163279e-05,1.01033909499074,0.242053199671862,786.530849744614,"anova",0.187380589947027,6.51140407865846e-08,4.92191323660265e-08,-5376.82342072721,"tweedie",2807.37380388795,0.195461241926408,0.310761083889507,1.29898055558561,0.403672605405179,0,1.5,"quantile_regression",1758.36422850872,0.00157150274971407,7.14590274432761,4.77183152811665,1.79769313486232e+308,2.2292055384863
"lm",1882.51832064745,0.0045635245324663,3.7485568789172,2.86906741555574,10.7548623966587,"anova",3.99883415253146e-06,0.884799379221403,0.186496005349177,682.23176353003,"anova",0.00436966208565548,0.00106940403317781,0.00037088937573226,-1805.87274017927,"anova",0.000485531951688145,0.0788787533937261,0.0222349825080726,-168.465429484873,"anova",2.44343043751864e-05,0.359474735974042,0.0831672657006522,359.209367328334,"anova",2.95843132749099e-06,1.07168007442327,0.222712173897969,753.219930716075,"anova",0.0045635035916674,1.07548564526569e-07,3.74855283077859e-08,-5485.75440890142,"tweedie",2278.8396494369,0.00159956356735199,0.284798619139187,3.2002185154545,0.911417814145101,0,1.5,"quantile_regression",1649.08689235681,0.00385490345171613,6.11061697537798,1.94901608133333,1.79769313486232e+308,2.08960556424476
"lm",1838.01857364622,0.000344701772077126,3.35389234745907,3.64255974586075,12.2167532568048,"anova",5.9382532350783e-05,0.832054245243639,0.202754814054884,715.666810208284,"anova",0.000340802999037647,0.00121620949940763,0.00033360259911098,-1848.25409136719,"anova",0.000178391019870328,0.0892625951503309,0.0233657921399918,-148.622933026662,"anova",7.06822002474073e-05,0.366947002797042,0.0903844670557259,392.496806815859,"anova",6.72588878055287e-05,0.987112117261175,0.242391148279769,787.088930216241,"anova",0.000344701253276839,1.22167479876493e-07,3.35389052021811e-08,-5530.25394185961,"tweedie",2411.06847754133,7.66069093559451e-05,0.234553628487156,4.03943907298172,0.947465091620655,0,1.5,"quantile_regression",1694.79692583127,0.0129010206641851,6.02003579200561,3.3382763975263,1.79769313486232e+308,2.39915205715517
"lm",2065.29656259548,0.103474433184566,5.91988213161005,1.63577921656089,9.68362015537787,"anova",0.000591017837056077,0.695099732765243,0.199051054016576,708.292373470964,"anova",0.0998638982517513,0.00096058905920282,0.000581029461095454,-1626.31369073625,"anova",0.0116173150855972,0.0688257469873086,0.0270196719642456,-90.5060876044886,"anova",0.000793324346845663,0.302230220302764,0.0886885051950233,384.919951195509,"anova",0.00067628855593461,0.824479352207243,0.238725482915899,780.993549496117,"anova",0.103474048074195,9.68361258550613e-08,5.91987085360695e-08,-5302.9764970286,"tweedie",2752.00513396424,0.103798920966126,0.474796844898933,1.63423281358496,0.775928583720446,0,1.5,"quantile_regression",1692.71510944604,0.0126936571460954,4.93910142486516,1.20979000710973,6.63111799887507,1.96374851436356
