# test comment
"lm.model","lm.AIC","lm.p_value","lm.std_err","lm.t_value","lm.estimate","anova.model","anova.p_value","anova.estimate","anova.std_err","anova.AIC","anova_c_10000.model","anova_c_10000.p_value","anova_c_10000.estimate","anova_c_10000.std_err","anova_c_10000.AIC","anova_c_100.model","anova_c_100.p_value","anova_c_100.estimate","anova_c_100.std_err","anova_c_100.AIC","anova_c_10.model","anova_c_10.p_value","anova_c_10.estimate","anova_c_10.std_err","anova_c_10.AIC","anova_c_0.5.model","anova_c_0.5.p_value","anova_c_0.5.estimate","anova_c_0.5.std_err","anova_c_0.5.AIC","anova_c_100000000.model","anova_c_100000000.p_value","anova_c_100000000.estimate","anova_c_100000000.std_err","anova_c_100000000.AIC","tweedie.model","tweedie.AIC","tweedie.p_value","tweedie.std_err","tweedie.t_value","tweedie.estimate","tweedie.link.power","tweedie.var.power","quantile_regression.model","quantile_regression.AIC","quantile_regression.p_value","quantile_regression.estimate","quantile_regression.lower_bound","quantile_regression.upper_bound","quantile_regression.std_err"
"lm",1649.11785868489,0.489334886583521,2.09147546019822,-0.692659437815158,-1.4486802164651,"anova",0.655146480049956,0.0793431951945716,0.177381999348947,662.19007378103,"anova",0.491692356644542,-0.00014348832653753,0.000208286009123923,-2036.66940436521,"anova",0.673300098953362,-0.00658729206504578,0.0156004246661564,-310.212909966262,"anova",0.873954746080547,0.01094626669861,0.0689126430397376,284.00369943815,"anova",0.643347847925038,0.101174395164158,0.218173420331565,744.983936663907,"anova",0.489335321302175,-1.44867817296318e-08,2.09147460568169e-08,-5719.15460232455,"tweedie",2154.3409760513,0.468737732999525,0.344055187110856,-0.725931880822116,-0.249760629085989,0,1.5,"quantile_regression",1386.49277760001,1,0,0,0,0.918261010630078
"lm",1511.35145713176,0.108975355540117,1.48209077226169,-1.61007144572706,-2.38627203239411,"anova",0.334416586627575,-0.177289590453296,0.183223078347638,675.14960273168,"anova",0.109135154611301,-0.000238094844516258,0.000147945619663965,-2173.49636737271,"anova",0.122840410045938,-0.019751952768049,0.0127466894071382,-391.023530977534,"anova",0.185982876590713,-0.090055446978868,0.0678555681817245,277.820415190769,"anova",0.384132734805474,-0.196949372175141,0.225796653360723,758.721767744415,"anova",0.108975449345907,-2.38627099882742e-08,1.48209052564993e-08,-5856.920907007,"tweedie",1949.63140723537,0.101261539184926,0.221236469133109,-1.64643005299969,-0.36425037160029,0,1.5,"quantile_regression",1434.31319687903,0.532036891748536,-0.86334984951637,-3.22983123788185,1.79769313486232e+308,1.37915645871464
"lm",1561.5205068735,0.395839085211144,1.68013878343674,-0.850924671254701,-1.42967154195818,"anova",0.364143066986162,-0.168231145962331,0.184952103236868,678.906591658036,"anova",0.395910682541893,-0.000142640104520103,0.000167654985355905,-2123.47099232528,"anova",0.398663896019913,-0.0118925140921284,0.0140600299505197,-351.797757766583,"anova",0.383167203362338,-0.0615087437397682,0.070374673301485,292.401213282601,"anova",0.36510295223334,-0.206307121598931,0.227267908344602,761.319649423694,"anova",0.395839221553696,-1.42967080855625e-08,1.68013840731762e-08,-5806.75188025223,"tweedie",2020.36519681484,0.39380609309411,0.237588156454932,-0.854598855088647,-0.203042566489007,0,1.5,"quantile_regression",1457.47855455302,0.0461153796200569,-2.64206403605179,-4.09764789435867,2.75710192948013,1.31645941030459
"lm",2074.98706801778,0.848362525341938,6.06505009502315,-0.19145857403229,-1.16120584262753,"anova",0.6681753534975,0.0863673852127253,0.201184259947091,712.556317318391,"anova",0.848366990180704,-0.000114154970666636,0.000596256261278791,-1615.96605869134,"anova",0.880809579756493,-0.00423664349777888,0.0282185697482951,-73.1400592202399,"anova",0.935759626078202,0.00723499416523883,0.0896495765041844,389.231226068055,"anova",0.613087552144475,0.122591420163629,0.242048869458867,786.52369387684,"anova",0.848362585077272,-1.16120336755676e-08,6.06503958636246e-08,-5293.28592262718,"tweedie",2902.93206638974,0.848084936489556,0.476078023855072,-0.19181340738589,-0.0913181479371827,0,1.5,"quantile_regression",1688.24092515216,0.641910329011874,0.79628860968879,-1.46225135524255,4.48138880175731,1.70971138855775
"lm",1738.06200195722,0.429824416665029,2.61229759032297,0.791113436444362,2.06662372369573,"anova",0.700675407086842,0.0731655500840284,0.190056906499023,689.797249686561,"anova",0.430043080408644,0.000205473142450529,0.00025984988471343,-1948.19263687351,"anova",0.448197112823287,0.0139829733207319,0.0184002141418306,-244.187243319983,"anova",0.538346131337068,0.0472434622228653,0.0766455878964126,326.544652392122,"anova",0.74911831348019,0.0743143115981917,0.232052643866229,769.653539260704,"anova",0.429824344427528,2.06662292944377e-08,2.6122961765958e-08,-5630.21051209639,"tweedie",2279.0067392229,0.421970588190683,0.320359159046065,0.804678140127121,0.257786012273876,0,1.5,"quantile_regression",1515.60350737894,0.529033476926782,0.826157133353061,-2.65156457320316,3.44292911706298,1.31012622065624
"lm",1617.00323647543,0.735114044087327,1.93012201899696,-0.338807152475469,-0.653939145186564,"anova",0.976719151579151,-0.00563534136213615,0.192863938637882,695.661819259124,"anova",0.736891652672014,-6.47349591807224e-05,0.000192408764808017,-2068.38543905722,"anova",0.857176619946952,-0.00276748634248683,0.0153575082917624,-316.490366807273,"anova",0.94815019155799,0.00483775102222083,0.0742984467474228,314.103854146388,"anova",0.932291378381654,-0.0200742409331417,0.23597210005505,776.353266776481,"anova",0.7351143995369,-6.53938015489992e-09,1.93012137658918e-08,-5751.26919423863,"tweedie",2125.60489521689,0.732791934496316,0.242899666940329,-0.341895775800385,-0.0830463700702188,0,1.5,"quantile_regression",1503.09218236478,0.557451122774017,-1.05559818420202,-3.43762100951458,3.4292975837592,1.79636946287721
"lm",1473.24943323365,0.401230298219617,1.34742951585826,0.841236452387614,1.13350682576297,"anova",0.525911767971354,0.107176073176642,0.168679270778015,642.067477908046,"anova",0.401967040531441,0.000112935622894807,0.000134460193829822,-2211.72699655592,"anova",0.457898346403483,0.0084448188486604,0.0113540987472756,-437.300643657603,"anova",0.565083160063983,0.0345037959634634,0.0598737389433399,227.763033212015,"anova",0.510407971788531,0.138702818920444,0.210348421026081,730.373957042191,"anova",0.401230179517206,1.13350688106357e-08,1.34742924132293e-08,-5895.02294584628,"tweedie",1802.00952155471,0.390040629698101,0.250138517476489,0.861434800928699,0.215478024006959,0,1.5,"quantile_regression",1342.10030656379,0.0273102205434059,2.19153811303683,-1.79769313486232e+308,3.1911698179415,0.985610559856389
"lm",1611.40554656221,0.400291819899463,1.90329957499682,-0.842917234579821,-1.60432401433327,"anova",0.873361335373837,0.031413870659597,0.19683263059189,703.809346294736,"anova",0.400922819244156,-0.000159852378770695,0.000189896497152955,-2073.64260722781,"anova",0.459778791641642,-0.0116938478795283,0.0157884772109822,-305.420010985211,"anova",0.733125208795161,-0.0265035754091249,0.077620142724023,331.598621480849,"anova",0.780366078639233,0.0668878182518911,0.239550874335108,782.374160895542,"anova",0.400291955057828,-1.6043231248338e-08,1.90329906669942e-08,-5756.86685784322,"tweedie",2187.96075559595,0.39504306899604,0.231403528300916,-0.85236192194124,-0.197239556126553,0,1.5,"quantile_regression",1517.64908433388,0.273143632331068,1.8830523288005,-1.79769313486232e+308,2.85073438728854,1.71357051545664
"lm",1817.9998143079,0.00679746514480448,3.19017147023771,-2.73534123598849,-8.72620757241524,"anova",0.00411306852877667,-0.579351439470779,0.199558037094628,709.309878315158,"anova",0.00674084547726153,-0.000868272710211509,0.000317096264598626,-1868.55211535274,"anova",0.00421269322032089,-0.0627607386948576,0.0216764226719782,-178.642101575493,"anova",0.00239679456922133,-0.261037902892336,0.0848707042792212,367.319424514589,"anova",0.00524771902281309,-0.681154147023813,0.241310334418307,785.301355525814,"anova",0.00679746207903429,-8.72620278956157e-08,3.19016954190392e-08,-5550.27272505746,"tweedie",2417.99381807915,0.00261571876514685,0.291168732726071,-3.04829369309826,-0.887567811596293,0,1.5,"quantile_regression",1609.58397643782,0.0230016484458453,-3.86035642697672,-6.33064956566337,-1.14184163622991,1.68482801029451
"lm",1663.26410094007,0.480950399810195,2.16676524384596,0.706108941099071,1.52997231194234,"anova",0.60531806550711,-0.0971034472933511,0.187604761935684,684.602803484921,"anova",0.481985753971429,0.000151919016514562,0.000215658891200838,-2022.7550951816,"anova",0.558555587752177,0.00937090125902234,0.0159918151957348,-300.301347961366,"anova",0.862009123799861,0.0127156599680248,0.0730602570993189,307.381651754776,"anova",0.48574414514969,-0.160244251634611,0.229443553041516,765.130652804858,"anova",0.480950382620284,1.52997164220958e-08,2.16676421034662e-08,-5705.00838743211,"tweedie",2083.33913050178,0.470859632495736,0.25984379255856,0.722467359781307,0.187728658765345,0,1.5,"quantile_regression",1505.02423397367,0.988523474465685,0.0252866318596503,-1.79769313486232e+308,0.712863122202155,1.75572778070355
