# test comment
"lm.model","lm.AIC","lm.p_value","lm.std_err","lm.t_value","lm.estimate","anova.model","anova.p_value","anova.estimate","anova.std_err","anova.AIC","anova_c_10000.model","anova_c_10000.p_value","anova_c_10000.estimate","anova_c_10000.std_err","anova_c_10000.AIC","anova_c_100.model","anova_c_100.p_value","anova_c_100.estimate","anova_c_100.std_err","anova_c_100.AIC","anova_c_10.model","anova_c_10.p_value","anova_c_10.estimate","anova_c_10.std_err","anova_c_10.AIC","anova_c_0.5.model","anova_c_0.5.p_value","anova_c_0.5.estimate","anova_c_0.5.std_err","anova_c_0.5.AIC","anova_c_100000000.model","anova_c_100000000.p_value","anova_c_100000000.estimate","anova_c_100000000.std_err","anova_c_100000000.AIC","tweedie.model","tweedie.AIC","tweedie.p_value","tweedie.std_err","tweedie.t_value","tweedie.estimate","tweedie.link.power","tweedie.var.power","quantile_regression.model","quantile_regression.AIC","quantile_regression.p_value","quantile_regression.estimate","quantile_regression.lower_bound","quantile_regression.upper_bound","quantile_regression.std_err"
"lm",1580.44402991728,0.765518116057673,1.76153432845008,0.298652877694148,0.526087296348645,"anova",0.62191499450282,-0.0888272669510403,0.179843905931969,667.703549762838,"anova",0.765410669985767,5.25036226524574e-05,0.000175718526021904,-2104.68090364813,"anova",0.773617276328852,0.00415830336582482,0.0144365400444147,-341.227166139548,"anova",0.962362600485481,0.00329764417723735,0.0697932648757499,289.082840948449,"anova",0.537776984141873,-0.136340098876812,0.220882003535305,749.919290914598,"anova",0.765517867516386,5.2608774426909e-09,1.76153390430766e-08,-5787.82836397573,"tweedie",2038.140917097,0.765494938116834,0.269453412106469,0.298683296816997,0.0804812334665493,0,1.5,"quantile_regression",1426.13315592179,0.00966561077087702,-2.4227542037486,-3.10067399744563,1.56359595033472,0.927213262760018
"lm",1564.16971358843,0.115442370337156,1.69130330138907,1.58113892306512,2.6741854805348,"anova",0.0413499528017331,0.347650697895861,0.169306234795741,643.551481752054,"anova",0.115220597100761,0.000266757364548203,0.000168608658178009,-2121.20211694164,"anova",0.0998185622756463,0.0221617233983568,0.0134031096842748,-370.937465986307,"anova",0.0652316885767439,0.1186747772156,0.0640113660194266,254.492100262045,"anova",0.0387283507587888,0.43539590222472,0.209233128196135,728.247466096653,"anova",0.115442288627049,2.67418525910013e-08,1.69130277910719e-08,-5804.10270751429,"tweedie",1888.31336595627,0.107661551453336,0.282746221350376,1.61611545086095,0.456950536996893,0,1.5,"quantile_regression",1380.12843947196,0.00715184640708943,2.50880081278743,0.486035541652404,3.3025703333041,0.923056240965025
"lm",1627.12804000125,0.0418342972259178,1.97960084710176,2.0484618976958,4.05513690793428,"anova",0.0746719484989659,0.33278476113219,0.185713560053187,680.550030396249,"anova",0.0417506417025092,0.000404416414028008,0.000197342863022267,-2058.25722103194,"anova",0.036285806416781,0.0328379299156538,0.0155774937762079,-310.801298036507,"anova",0.0338577054696653,0.153878008617704,0.0720199782771383,301.645258243165,"anova",0.0962122992398485,0.38103561622857,0.227966963386775,762.548124015691,"anova",0.0418342737997468,4.0551360775222e-08,1.97960021279814e-08,-5741.1443857477,"tweedie",2091.40814538526,0.036263236540235,0.27124918146688,2.1082946360112,0.571873194309053,0,1.5,"quantile_regression",1471.86554257264,0.0894533430113709,2.29683032242525,-1.92453976120736,3.71944579257777,1.34580556364717
"lm",1689.06665681123,0.891374016683589,2.31114199854338,-0.13674155909108,-0.316029160161697,"anova",0.326716000184071,0.185213046389513,0.188380569242517,686.253524071137,"anova",0.894652507060187,-3.0480058721537e-05,0.000229882512100312,-1997.20693140627,"anova",0.920981666105859,0.00165393132601272,0.0166519127653992,-284.122128142889,"anova",0.629570493141142,0.0359717951578078,0.074462962357708,314.988576485836,"anova",0.269738552553222,0.254670024250569,0.23010316335135,766.278933472372,"anova",0.891374496753385,-3.16027585759807e-09,2.31114076308741e-08,-5679.20585459583,"tweedie",2214.31309669427,0.890673877529651,0.312119922156391,-0.137628510371456,-0.0429565999436388,0,1.5,"quantile_regression",1475.40969273238,0.0521267132888157,2.27840793399724,-1.79769313486232e+308,2.76408468136049,1.16610822396985
"lm",1751.02531052612,0.879871007240994,2.69834442313324,-0.151328056160365,-0.408335216403914,"anova",0.508827101746598,-0.122821417256714,0.185568599248321,680.237683985628,"anova",0.877336604350758,-4.1492585651541e-05,0.000268480359813407,-1935.12317060293,"anova",0.732262827332624,-0.00653901213249769,0.0190864338036611,-229.541040143955,"anova",0.548031119658303,-0.0461871776167293,0.0767551772853409,327.116171875442,"anova",0.51005020377166,-0.149310408771105,0.226243608801538,759.512769119964,"anova",0.879870857581499,-4.08335523352271e-09,2.69834306393068e-08,-5617.24718854177,"tweedie",2285.61610557247,0.88036294963175,0.332187332805664,-0.150703603559097,-0.0500618281104986,0,1.5,"quantile_regression",1512.98227450502,0.739059219128748,-0.4199540079094,-3.13180006465038,0.416634409011035,1.25897904039923
"lm",1733.73981189132,0.748689618402815,2.58422242948115,-0.320814105561915,-0.829055007287034,"anova",0.525804548731679,-0.123660593885566,0.194573003232333,699.190807840851,"anova",0.745492712973678,-8.35549643813887e-05,0.000257059230310988,-1952.51166539785,"anova",0.588075986538426,-0.0100435219583464,0.018512997231386,-241.742949013133,"anova",0.461221199697516,-0.0590720522381538,0.0800135614598886,343.746291026301,"anova",0.56283696428661,-0.136537305308168,0.235567794829851,775.667334869278,"anova",0.748689394428687,-8.29055332898653e-09,2.58422106025792e-08,-5634.5326976255,"tweedie",2253.63902574536,0.750828604308979,0.276665883604987,-0.317988736027485,-0.0879766346294771,0,1.5,"quantile_regression",1563.97725341947,0.873841330635342,-0.29157427453055,-2.3165496551904,0.966449534820197,1.83395283297236
"lm",1628.77601262674,0.345808686743064,1.98777349092187,-0.945003804185823,-1.8784535107809,"anova",0.982263799838403,-0.00410924985952387,0.184611026541616,678.168256549125,"anova",0.346914176006616,-0.000186789877082978,0.000198115084486812,-2056.69503733895,"anova",0.436212594262263,-0.0121061441246396,0.0155169816150088,-312.358159487388,"anova",0.72591376999484,-0.0252399183429104,0.0718955384394491,300.953519803608,"anova",0.97668117933278,0.00662745348768071,0.22644853183647,759.874910240664,"anova",0.345808899590789,-1.87845205954586e-08,1.98777283439598e-08,-5739.49641706704,"tweedie",2115.38715399083,0.328473582535041,0.279219466441145,-0.979611019125212,-0.273526466080008,0,1.5,"quantile_regression",1454.46423590455,1,0,-2.33950409923335,3.24418866152848,1.20541449542444
"lm",1450.01525604366,0.0824051492721131,1.27139315555982,1.74575207592036,2.21953724062949,"anova",0.0880289622243484,0.305723879103054,0.178332083857485,664.326816322634,"anova",0.0824121693785726,0.00022161688167214,0.000126949294350873,-2234.7191761271,"anova",0.0827667746666287,0.0194878770920248,0.0111762844683035,-443.614534344212,"anova",0.0833747390343186,0.109939491348804,0.0631757647912803,249.23613925097,"anova",0.0889070093061437,0.377660318103865,0.220906009590993,749.962761638109,"anova",0.0824050752609118,2.21953743811467e-08,1.27139295946323e-08,-5918.25710323232,"tweedie",1878.21957979927,0.0796857282913318,0.226516925922277,1.76156772915717,0.399024906812568,0,1.5,"quantile_regression",1371.60140263509,0.228890277016257,1.61900027478512,-1.79769313486232e+308,2.8824678907753,1.34139487623981
"lm",2056.37451752826,0.573741668551346,5.78930022956134,0.563485876596523,3.26218891473482,"anova",0.47050861861339,-0.139287447842843,0.192641447072859,695.200105160232,"anova",0.579310294701336,0.000314333506060872,0.000566051714520712,-1636.76009901271,"anova",0.802171765587827,0.0062268569879529,0.0248206664323011,-124.461512383067,"anova",0.868196923205933,-0.0136615314382829,0.0822168291918832,354.611841924459,"anova",0.398342066133146,-0.198011674458669,0.233941090058405,772.89556831423,"anova",0.573742170398652,3.26217711897351e-08,5.78928688462053e-08,-5311.89870209546,"tweedie",2758.37269897184,0.544271190248786,0.541842190737023,0.607415484361785,0.329123336734179,0,1.5,"quantile_regression",1598.88540756314,0.0269007767202241,-2.57111141348344,-3.29043748061035,1.79769313486232e+308,1.15319691727335
"lm",2032.77492159642,0.537485525593008,5.45761802821165,-0.61769599901986,-3.371148820205,"anova",0.95051430439796,0.011469243246336,0.184572062960148,678.083824552707,"anova",0.543630413436239,-0.000323929165512644,0.000532442375983828,-1661.24440494366,"anova",0.892839331810251,-0.00290841341035667,0.0215620724267151,-180.757818352338,"anova",0.795363133029554,0.0192029849719161,0.0739422534239346,312.181607375729,"anova",0.990082082711071,-0.00281494814908658,0.226167584841433,759.378335733896,"anova",0.537486212766076,-3.37113460215693e-08,5.4576042380078e-08,-5335.49838669808,"tweedie",2494.28856218648,0.486147560320737,0.571463550255165,-0.697757287434335,-0.398742856693639,0,1.5,"quantile_regression",1538.83781804662,0.140602225914991,-1.81114948734262,-2.61938381038722,1.79769313486232e+308,1.22418255865684
"lm",1601.40599851545,0.177954616949704,1.85630903846477,-1.35188421655325,-2.50951489014565,"anova",0.290010015133574,-0.20236183990222,0.190738427195124,691.229034928588,"anova",0.178164047193328,-0.000250184124780797,0.000185153037254973,-2083.76119138141,"anova",0.19417521195919,-0.0197619375505507,0.0151694685300919,-321.418261006216,"anova",0.241009075344294,-0.0873731139853592,0.0742972102002573,314.09719690113,"anova",0.300720634991057,-0.241728092667913,0.232967916499204,771.228134266436,"anova",0.177954721639876,-2.50951363639741e-08,1.85630856110171e-08,-5766.86640192835,"tweedie",2080.65388960096,0.16912323083223,0.225953484623699,-1.38006389126252,-0.311830245234109,0,1.5,"quantile_regression",1506.35069869987,0.656888396545552,-0.78221226448578,-3.96968723805506,0.941204312181551,1.75823248481907
