"lm.model","lm.AIC","lm.p_value","lm.std_err","lm.t_value","lm.estimate","anova.model","anova.p_value","anova.estimate","anova.std_err","anova.AIC","anova._c_10000.model","anova._c_10000.p_value","anova._c_10000.estimate","anova._c_10000.std_err","anova._c_10000.AIC","anova._c_100.model","anova._c_100.p_value","anova._c_100.estimate","anova._c_100.std_err","anova._c_100.AIC","anova._c_10.model","anova._c_10.p_value","anova._c_10.estimate","anova._c_10.std_err","anova._c_10.AIC","anova._c_0.5.model","anova._c_0.5.p_value","anova._c_0.5.estimate","anova._c_0.5.std_err","anova._c_0.5.AIC","tweedie.model","tweedie.AIC","tweedie.p_value","tweedie.std_err","tweedie.t_value","tweedie.estimate","tweedie.link.power","tweedie.var.power","quantile_regression.model","quantile_regression.AIC","quantile_regression.p_value","quantile_regression.estimate","quantile_regression.lower_bound","quantile_regression.upper_bound","quantile_regression.std_err"
"lm",1766.4486307868,0.0361080281789366,2.80441990184385,2.11007155879872,5.91752667380981,"anova",0.00513216381584968,0.569958256442029,0.201387649496554,712.96049766381,"anova",0.0356895069855172,0.000590767937938275,0.000279336642492497,-1919.26721263865,"anova",0.0166475292706646,0.0504937100466505,0.0209090358363345,-193.05960351329,"anova",0.00440586231518773,0.247888964097823,0.0860534350503608,372.855212043141,"anova",0.00692745277717895,0.663373395232743,0.243095358918485,788.249351562116,"tweedie",2525.96407767097,0.0471339611055839,0.322053592405554,1.99755390192477,0.643319410138605,0,1.5,"quantile_regression",1581.62105206088,0.176055166465795,1.71681239811073,-1.79769313486232e+308,4.5140272384058,1.26435642708328
"lm",1722.64186136889,0.49108184681538,2.51350900156274,0.689872974165212,1.73400193049912,"anova",0.729033042942664,-0.0707465332186251,0.203937848079828,717.99394806341,"anova",0.492822595264189,0.000171931406732426,0.000250226995727249,-1963.28688046727,"anova",0.607632462723365,0.00962677294719071,0.0187190738746035,-237.31496547,"anova",0.875287221730249,0.0130534959160112,0.0830642318330739,358.713510009828,"anova",0.630500468320224,-0.119128739870684,0.247272374374338,795.064019335163,"tweedie",2327.98501425343,0.481492050740552,0.247412012493014,0.705236228759699,0.174483914640421,0,1.5,"quantile_regression",1591.514574689,0.0700279352868098,-3.315724117598,-5.11275793438722,2.42149356569158,1.82024734074638
"lm",1784.33581659679,0.00877439732676213,2.93267411342518,2.64700158032729,7.76279301282138,"anova",0.0320250891823147,0.456342979350023,0.211333076367044,732.242015539769,"anova",0.00873086318308358,0.000773512599988882,0.000292029969361883,-1901.49170326785,"anova",0.00680393237493182,0.0591787826803856,0.0216374525340061,-179.361873672578,"anova",0.00864466169803211,0.238009062032379,0.0897396620674849,389.632969546495,"anova",0.045596805867566,0.512366270693506,0.25468093895688,806.872452384927,"tweedie",2505.00451534563,0.00718477591695123,0.263501586077973,2.71635031827739,0.715762617209497,0,1.5,"quantile_regression",1646.77735185739,0.0253826093739438,4.25340606959556,-1.79769313486232e+308,6.80625418092613,1.88823530068212
"lm",1689.91112222615,0.0201968260423138,2.31602635127974,2.34157073771842,5.4231395319414,"anova",0.234748909265127,0.239471200465925,0.200924921698245,712.040361360873,"anova",0.0201967424842345,0.000540496961683003,0.000230826507326818,-1995.5677248654,"anova",0.0215282804953149,0.0417549917747828,0.0180214163636837,-252.507824944095,"anova",0.0484822543009799,0.161752292896195,0.0814716400478166,350.969829530382,"anova",0.337557060491271,0.234417445182225,0.243846141522777,789.482819152856,"tweedie",2270.8642990152,0.0148475777462069,0.244703199694224,2.45758358992825,0.601378567971461,0,1.5,"quantile_regression",1570.25796921973,0.218187962468137,2.34302852590418,-2.82036390856009,1.79769313486232e+308,1.89675043889086
"lm",1786.34207682254,0.00435345248823534,2.94742033202323,2.88457073442114,8.50204243179205,"anova",0.0582545078897282,0.395942056086864,0.207864602465952,725.622602827408,"anova",0.00433879147753995,0.000846046791036097,0.000293188212512849,-1899.90836946291,"anova",0.00437055413049661,0.0602571858127095,0.0208988080720954,-193.255313475574,"anova",0.0115259505324775,0.221189937215846,0.0867380184196521,376.024752839172,"anova",0.0856769940077702,0.434190876517068,0.251372751993201,801.642597688448,"tweedie",2433.0373316085,0.00100069829423989,0.257428354342732,3.34013539559207,0.859845558169177,0,1.5,"quantile_regression",1620.44414614481,0.141037586656103,2.54638677669487,-1.79769313486232e+308,6.21156235297929,1.72303785626037
"lm",2095.88564476387,0.188198940236765,6.39035130328187,1.32048055710563,8.43833464905831,"anova",0.0276834129491957,0.490503521088369,0.221135128994515,750.377418834539,"anova",0.1820206277914,0.000842682865726775,0.000629214190575849,-1594.44558627189,"anova",0.0433166301110739,0.0647320748358069,0.0318297977873338,-24.9710090447592,"anova",0.0143200637523439,0.251659134025126,0.10184685267357,440.255931848091,"anova",0.0371455257022937,0.553870073430657,0.263959330179199,821.185851174948,"tweedie",3265.38104816079,0.217366673304682,0.459411489035585,1.23750097848451,0.56852216720856,0,1.5,"quantile_regression",1769.76410219157,0.0423843240678112,4.07143480782497,-1.79769313486232e+308,6.31682972545807,1.99293799620962
"lm",1732.79353862043,0.0545071774051462,2.57811620349932,1.93425442213437,4.98673266739484,"anova",0.15522794367654,0.283973474080483,0.199035690202356,708.261498161599,"anova",0.0546067405445854,0.000496140576898474,0.000256608901167503,-1953.21301980356,"anova",0.0648112849565215,0.0348887336312759,0.0187887382691526,-235.829099551959,"anova",0.102424298705168,0.132201340111576,0.0805707500785471,346.522108162483,"anova",0.175179874285539,0.329520854750709,0.242183917243484,786.746806052351,"tweedie",2281.96944195892,0.0370050407665531,0.255552106935039,2.09989112611524,0.53663160161294,0,1.5,"quantile_regression",1571.16748073266,0.0983423473799103,2.81174954946723,0.842826886155995,6.34354078895755,1.69303975339241
"lm",1838.2166362268,0.870557429176195,3.35555346011381,0.163161830580268,0.54749824516212,"anova",0.751695281515516,-0.0665893893035185,0.210164141606073,730.023376444739,"anova",0.866693084774148,5.60406253165709e-05,0.000333419366488011,-1848.47385339846,"anova",0.694007434933938,0.00890862214739654,0.0226109030828111,-161.759273501932,"anova",0.725426857649738,0.0316251030675938,0.0899171283206857,390.423215483937,"anova",0.600139401973348,-0.132712420907399,0.25276395686795,803.850266174842,"tweedie",2576.33590729164,0.871181731476332,0.295176149809675,0.162367896118938,0.0479271304290853,0,1.5,"quantile_regression",1648.0055149082,0.172427823651907,-2.8131359792247,-4.66609641091772,2.03191453564365,2.054294926995
"lm",2075.91523601297,0.164107716727401,6.07913989930149,1.396565727072,8.48991843344042,"anova",0.844749706771715,0.0439360072500376,0.224073397260757,755.657301414668,"anova",0.163606630908901,0.000834889859723813,0.000597102550407077,-1615.39872604211,"anova",0.172709191813256,0.0412168992006199,0.0301185023839842,-47.0762923767528,"anova",0.348075259389716,0.0962710074503817,0.102354735092775,442.245665510847,"anova",0.983532395036129,0.00551947668746657,0.267071843858023,825.874915734008,"tweedie",3097.514383597,0.120561265388092,0.369321800634754,1.55913535516967,0.575822676804571,0,1.5,"quantile_regression",1765.21171238412,0.114973013928493,-3.21372279205933,-4.68288290426601,1.79769313486232e+308,2.02989721023462
"lm",1874.43237027464,0.000346230599163667,3.67354103916216,3.64134389926967,13.3766262516699,"anova",0.00122340495544246,0.680574561283095,0.207444650410432,724.813659235147,"anova",0.000335770998725204,0.00133028281792991,0.000364484468396289,-1812.84070005648,"anova",8.64091593001999e-05,0.093797670786617,0.0233981295715911,-148.069729863709,"anova",7.53106018279165e-05,0.359257602057306,0.0888421955939362,385.612520702078,"anova",0.0027540920647017,0.758694402634195,0.250226182848961,799.813931698073,"tweedie",2447.74774842968,8.47946302937223e-06,0.267591680771533,4.57254714777595,1.22357557668044,0,1.5,"quantile_regression",1670.44123288086,0.00275839400419686,6.18095910436853,2.43276057171146,9.44481632356763,2.03888349375731
"lm",1719.04019647349,0.0717929465639772,2.49097854488944,1.81012262050336,4.50897661129292,"anova",0.0490868145125928,0.401962558148542,0.203009704778721,716.169349480267,"anova",0.0714643032294918,0.000449911920132076,0.000248263152748826,-1966.43856263284,"anova",0.0523996064913495,0.0375594856899576,0.019245765607346,-226.215737161007,"anova",0.0320287117203221,0.181338655715888,0.0839799786059243,363.099203805536,"anova",0.0624552990681043,0.460767998223116,0.245923177827593,792.875516366935,"tweedie",2409.01029036099,0.0756077818852843,0.27498713444928,1.78613416279938,0.491163915170167,0,1.5,"quantile_regression",1574.55621047531,0.0299482867988821,3.39254038041712,-1.79769313486232e+308,5.24944913137692,1.55155645673962
